club_id,club_name,clubelo_club,clubelo_country
2420,Vitória Guimarães SC,Guimaraes,POR
2423,CD Santa Clara,Santa Clara,POR
2424,Gil Vicente FC,Gil Vicente,POR
2425,Rio Ave FC,Rio Ave,POR
2431,CF Estrela Amadora,Estrela Amadora,POR
2439,Kuban Krasnodar (-2018),FC Krasnodar,RUS
2448,Sporting Gijón,Gijon,ESP
2451,Inverness Caledonian Thistle FC,Inverness,SCO
2477,Karpaty Lviv (-2021),FC Lviv,UKR
2497,Real Oviedo,Oviedo,ESP
2503,Boavista FC,Boavista,POR
2521,FC Alverca,Alverca,POR
2553,Kilmarnock FC,Kilmarnock,SCO
2578,St. Johnstone FC,St Johnstone,SCO
2671,PAS Giannina,Giannina,GRE
2672,APO Levadiakos Football Club,Levadeiakos,GRE
2687,Cádiz CF,Cadiz,ESP
2696,PFK Krylya Sovetov Samara,Kryliya Sovetov,RUS
2698,FC Rubin Kazan,Rubin Kazan,RUS
2700,Anzhi Makhachkala ( -2022),Anzhi,RUS
2715,RFC Seraing,Seraing,BEL
2722,SPAL,Spal,ITA
2727,Oud-Heverlee Leuven,Leuven,BEL
2740,Vorskla Poltava,SK Poltava,UKR
2741,FK Baltika,Baltika,RUS
2759,Ross County FC,Ross County,SCO
2760,Partick Thistle FC,Partick,SCO
2761,FK Haugesund,Haugesund,NOR
2778,FC Nordsjaelland,Nordsjaelland,DEN
2790,FC Lugano,Lugano,SUI
2817,Strømsgodset IF,Stromsgodset,NOR
2832,Gaziantep FK,Gaziantep FK,TUR
2844,IFK Norrköping,Norrkoeping,SWE
2861,KV Oostende,Oostende,BEL
2919,AC Monza,Monza,ITA
2921,Delfino Pescara 1936,Pescara,ITA
2944,Ankaraspor,Ankaraspor,TUR
2969,Dijon FCO,Dijon,FRA
2990,Académica Coimbra,Academica,POR
2995,FC Paços de Ferreira,Pacos Ferreira,POR
2999,Hamilton Academical FC,Hamilton,SCO
3008,Hull City,Hull,ENG
3057,Standard Liège,Standard,BEL
3060,APS Atromitos Athinon,Atromitos,GRE
3137,FK TSC Backa Topola,Backa Topola,SRB
3205,Kayserispor,Kayseri,TUR
3209,Pendikspor,Pendikspor,TUR
3268,Casa Pia AC,Casa Pia,POR
3302,UD Almería,Almeria,ESP
3325,GD Chaves,Chaves,POR
3327,FC Penafiel,Penafiel,POR
3329,FC Famalicão,Famalicao,POR
3336,Desportivo Aves (- 2020),Aves,POR
3349,CD Feirense,Feirense,POR
3368,Levante UD,Levante,ESP
3385,Panserraikos Serres,Panserraikos,GRE
3426,Esbjerg fB,Esbjerg,DEN
3508,Zulte Waregem,Zulte Waregem,BEL
3522,Spezia Calcio,Spezia,ITA
3524,Clermont Foot 63,Clermont,FRA
3527,Motor Lublin Spółka Akcyjna,Motor Lublin,POL
3551,Sportclub Rheindorf Altach,Altach,AUT
3558,GFC Ajaccio,Ajaccio,FRA
3592,Kryvbas Kryvyi Rig,Kryvbas,UKR
3609,Rotor Volgograd,Rotor Volgograd,RUS
3622,IFK Värnamo,Varnamo,SWE
3641,Degerfors IF,Degerfors,SWE
3654,Kalmar Fotbollförening,Kalmar,SWE
3690,SKA Khabarovsk,Khabarovsk,RUS
3691,Tom Tomsk,Tomsk,RUS
3709,Getafe CF,Getafe,ESP
3719,FC Khimki (-2025),FC Khimki,RUS
3729,Arsenal Tula,Tula,RUS
3837,Fredrikstad Fotballklubb,Fredrikstad,NOR
3840,Adana Demirspor,Adana Demirspor,TUR
3901,RAAL La Louvière,RAAL,BEL
3948,Union Saint-Gilloise,St Gillis,BEL
3999,PAS Lamia 1964,Lamia,GRE
4000,Lechia Gdansk,Lechia,POL
4083,FC Crotone,Crotone,ITA
4102,AC Carpi,Carpi,ITA
4128,Amkar Perm,Amkar Perm,RUS
4171,Benevento Calcio,Benevento,ITA
4172,Pisa Sporting Club,Pisa,ITA
4294,SC Farense,Farense,POR
4441,Wolfsberger AC,Wolfsberg,AUT
4467,TSV Hartberg,Hartberg,AUT
4482,Volyn Lutsk,Volyn Lutsk,UKR
4633,FK Novi Pazar,Novi Pazar,SRB
4645,FK Radnicki 1923 Kragujevac,Kragujevac,SRB
4750,SC Olhanense,Olhanense,POR
4795,FC Ingolstadt 04,Ingolstadt,GER
4959,SC Otelul Galati,Otelul Galati,ROM
5219,AOK Kerkyra,Kerkyra,GRE
5220,GS Ergotelis,Ergotelis,GRE
5358,SD Huesca,Huesca,ESP
5544,1.FC Slovacko,Slovacko,CZE
5545,FC Zlin,Tescoma Zlin,CZE
5546,FK Mlada Boleslav,Mlada Boleslav,CZE
5572,Niki Volou,Niki Volou,GRE
5619,Aalesunds Fotballklubb,Aalesund,NOR
5689,Cracovia,Cracovia,POL
5724,Randers FC,Randers,DEN
5776,FC Fredericia,Fredericia,DEN
5817,Sönderjyske Fodbold,SonderjyskE,DEN
5818,Hobro IK,Hobro,DEN
6107,Morski Związkowy Klub Sportowy Arka Gdynia Spółka Akcyjna,Arka,POL
6110,Korona Kielce,Korona,POL
6112,Piast Gliwice,Piast Gliwice,POL
6195,SSC Napoli,Napoli,ITA
6399,Sandefjord Fotball,Sandefjord,NOR
6414,Metalist Kharkiv (- 2016),FC Kharkiv,UKR
6418,Panetolikos Agrinio,Panetolikos,GRE
6429,FC Universitatea Cluj,Universitatea Cluj,ROM
6456,GKS GieKSa Katowice Spółka Akcyjna,Katowice,POL
6574,US Sassuolo,Sassuolo,ITA
6621,FK Cukaricki,Cukaricki,SRB
6622,FK Mladost Lucani,Mladost Lucani,SRB
6646,Fatih Karagümrük,Fatih Karaguemruek,TUR
6676,A.G.S Asteras Tripolis,Asteras Tripolis,GRE
6894,Kayseri Erciyesspor,Erciyesspor,TUR
6912,FC Vizela,Vizela,POR
6992,Chornomorets Odesa,Chernomorets,UKR
6994,Metalurg Zaporizhya (-2016),M Zaporizhya,UKR
6996,Goverla Uzhgorod (- 2016),Uzhgorod,UKR
7154,Radomiak Radom,Radomiak,POL
7160,Eyüpspor,Eyupspor,TUR
7179,CD Tondela,Tondela,POR
7185,Panthrakikos Komotini,Panthrakikos,GRE
7378,Portimonense SC,Portimonense,POR
7567,FK Radnicki Nis,Nis,SRB
7769,CFR Cluj,CFR Cluj,ROM
7775,Hatayspor,Hatayspor,TUR
7945,IK Sirius,IK Sirius,SWE
8024,FC Arouca,Arouca,POR
8818,FC Botosani,Botosani,ROM
8819,FK Javor-Matis Ivanjica,Ivanjica,SRB
8838,Zirka Kropyvnytskyi,Zirka,UKR
8970,Frosinone Calcio,Frosinone,ITA
9007,Arsenal Kyiv,Arsenal Kyiv,UKR
9010,FCV Dender EH,Dender,BEL
9465,Petrolul Ploiesti,Petrolul Ploiesti,ROM
9644,Raków Częstochowa,Rakow,POL
10004,Paris FC,Paris FC,FRA
10217,Sarpsborg 08 Fotballforening,Sarpsborg,NOR
10484,Kasimpasa,Kasimpasa,TUR
10690,Zorya Lugansk,Zorya,UKR
11126,Mordovia Saransk (-2020),Mordovia,RUS
11194,NK Lokomotiva Zagreb,NK Zagreb,CRO
